rank,song,artist
1,poor little fool,ricky nelson
2,patricia,perez prado and his orchestra
3,splish splash,bobby darin
4,hard headed woman,elvis presley with the jordanaires
5,when,kalin twins
6,rebel-'rouser,duane eddy his twangy guitar and the rebels
7,yakety yak,the coasters
8,my true love,jack scott
9,willie and the hand jive,the johnny otis show
10,fever,peggy lee
11,ginger bread,frankie avalon
12,just a dream,jimmy clanton and his rockets
13,left right out of your heart (hi lee hi lo hi lup up up),patti page
14,if dreams came true,pat boone
15,for your precious love,jerry butler and the impressions
16,one summer night,the danleers
17,endless sleep,jody reynolds
18,little star,the elegants
19,everybody loves a lover,doris day
20,do you want to dance,bobby freeman
21,guess things happen that way,johnny cash and the tennessee two
22,a certain smile,johnny mathis
23,western movies,the olympics
24,the purple people eater,sheb wooley
25,what am i living for,chuck willis
26,born too late,poni-tails
27,think it over,the crickets
28,secretly,jimmie rodgers
29,enchanted island,the four lads
30,angel baby,dean martin
31,chantilly lace,big bopper
32,blue blue day,don gibson
33,the freeze,tony and joe
34,don't ask me why,elvis presley with the jordanaires
35,rock-in robin,bobby day
36,"no chemise, please",gerry granahan
37,moon talk,perry como
38,somebody touched me,buddy knox with the rhythm orchids
39,that's how much i love you,pat boone
40,crazy eyes for you,bobby hamilton
41,early in the morning,buddy holly
42,you cheated,the slades
43,come what may,clyde mcphatter
44,jennie lee,jan & arnie
45,kathy-o,the diamonds
46,(it's been a long time) pretty baby,gino & gina
47,i wonder why,dion & the belmonts
48,return to me,dean martin
49,all i have to do is dream,the everly brothers
50,by the light of the silvery moon,jimmy bowen with the rhythm orchids
50,"baubles, bangles and beads",the kirby stone four
52,early in the morning,the rinky-dinks
53,come closer to me (acercate mas),nat king cole
54,nel blu dipinto di blu (volaré),domenico modugno
55,let's go steady for the summer,the three g's
56,leroy,jack scott
57,you need hands,eydie gorme
58,fool's paradise,the crickets
59,young and warm and wonderful,tony bennett
60,over and over,bobby day
61,itchy twitchy feeling,bobby hendricks
62,for your love,ed townsend
63,padre,toni arden
63,high school confidential,jerry lee lewis and his pumping piano
65,you're making a mistake,the platters
66,delicious!,jim backus & friend
67,big man,the four preps
68,volare (nel blu dipinto di blu),dean martin
69,op,the honeycones
70,don't go home,the playmates
71,got a match?,frank gallup
72,stupid cupid,connie francis
73,hey girl - hey boy,oscar mclollie and jeanette baker
74,win your love for me,sam cooke
74,gotta have rain,eydie gorme
76,midnight,paul anka
77,happy years,the diamonds
78,betty lou got a new pair of shoes,bobby freeman
79,the bird on my head,david seville
80,johnny b. goode,chuck berry
81,beautiful delilah,chuck berry
82,blip blop,bill doggett
83,try the impossible,lee andrews and the hearts
84,summertime blues,eddie cochran
85,got a match?,the daddy-o's
86,to be loved,jackie wilson
87,jealousy,kitty wells
88,just like in the movies,the upbeats
89,blue boy,jim reeves
90,stay,the ames brothers
91,the purple people eater meets the witch doctor,joe south
92,bird dog,the everly brothers
93,are you really mine,jimmie rodgers
94,she was only seventeen (he was one year more),marty robbins
95,little mary,fats domino
96,over and over,thurston harris
97,i believe in you,robert & johnny
98,little serenade,the ames brothers
99,i'll get by (as long as i have you),billy williams
100,judy,frankie vaughan
